                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.51558,                0.32119,                 1.0449,                0.97767,                0.97997,                0.97857,                0.88899,                 0.4651,                0.25872,                0.98694,             0.00028937,             0.00028937,             0.00028937
                     65,                0.50263,                0.31005,                 1.0321,                0.97905,                0.98408,                0.97812,                0.89411,                0.46671,                0.25692,                0.99872,             0.00028176,             0.00028176,             0.00028176
                     66,                0.50036,                  0.312,                 1.0337,                0.97644,                0.98309,                0.97645,                0.89483,                0.45817,                0.26489,                0.97872,             0.00027415,             0.00027415,             0.00027415
                     67,                0.50684,                 0.3138,                 1.0386,                 0.9799,                0.97991,                0.97613,                0.89663,                 0.4551,                0.26364,                0.98515,             0.00026654,             0.00026654,             0.00026654
                     68,                0.48861,                0.30733,                 1.0299,                0.97418,                0.98482,                0.97851,                0.90014,                0.44685,                0.25042,                0.97428,             0.00025892,             0.00025892,             0.00025892
                     69,                0.49224,                0.30379,                  1.031,                0.97493,                0.98127,                0.97733,                 0.8939,                 0.4578,                0.25024,                  0.979,             0.00025131,             0.00025131,             0.00025131
                     70,                 0.4932,                0.30729,                 1.0261,                0.97773,                0.97968,                 0.9765,                0.88653,                  0.453,                0.25155,                0.98421,              0.0002437,              0.0002437,              0.0002437
                     71,                0.48067,                0.29861,                 1.0265,                0.98176,                0.97925,                0.97918,                0.89656,                0.44867,                0.25309,                 0.9705,             0.00023608,             0.00023608,             0.00023608
                     72,                0.48456,                0.29736,                 1.0271,                0.98214,                0.97906,                0.97944,                 0.8982,                0.44328,                0.25222,                 0.9697,             0.00022847,             0.00022847,             0.00022847
                     73,                0.47194,                0.29481,                 1.0161,                0.97906,                0.98129,                0.97564,                 0.8955,                0.44254,                0.24897,                0.97231,             0.00022086,             0.00022086,             0.00022086
                     74,                0.47661,                0.30169,                 1.0185,                0.97802,                0.97748,                0.97697,                0.89776,                0.46077,                0.26153,                0.98004,             0.00021324,             0.00021324,             0.00021324
                     75,                0.47115,                0.29117,                 1.0172,                 0.9826,                0.98442,                0.98153,                0.90168,                0.44645,                  0.248,                  0.976,             0.00020563,             0.00020563,             0.00020563
                     76,                0.46838,                 0.2889,                 1.0153,                0.97963,                0.97849,                 0.9795,                0.89873,                0.44735,                0.24462,                0.97757,             0.00019802,             0.00019802,             0.00019802
                     77,                0.47322,                0.29701,                 1.0179,                0.98138,                0.98106,                0.98071,                0.89987,                0.45059,                0.24559,                0.97884,              0.0001904,              0.0001904,              0.0001904
                     78,                0.46585,                0.28801,                 1.0147,                0.98372,                0.98036,                0.98243,                0.90141,                0.44824,                0.24388,                0.97591,             0.00018279,             0.00018279,             0.00018279
                     79,                0.45823,                0.28782,                  1.012,                0.98351,                0.98077,                0.97618,                0.89125,                0.44621,                0.24808,                0.97351,             0.00017518,             0.00017518,             0.00017518
                     80,                0.45588,                 0.2831,                 1.0046,                0.98412,                0.97958,                0.97822,                0.89535,                0.45397,                0.24805,                 0.9823,             0.00016757,             0.00016757,             0.00016757
                     81,                0.45579,                0.28219,                 1.0134,                0.98134,                0.98111,                0.97979,                0.89809,                0.46192,                0.24854,                0.99009,             0.00015995,             0.00015995,             0.00015995
                     82,                0.45012,                0.28302,                 1.0109,                0.98484,                0.98123,                0.97783,                0.90261,                0.45216,                0.25111,                0.98495,             0.00015234,             0.00015234,             0.00015234
                     83,                  0.443,                0.26974,                 1.0021,                0.98202,                0.98512,                0.97859,                0.90141,                0.45444,                0.24695,                0.98611,             0.00014473,             0.00014473,             0.00014473
                     84,                0.43876,                0.27731,                 1.0012,                0.97851,                0.98506,                0.97817,                0.90364,                0.44763,                0.25148,                0.97455,             0.00013711,             0.00013711,             0.00013711
                     85,                0.42664,                 0.2687,                0.99297,                0.97907,                0.98513,                0.97773,                0.90687,                0.43624,                0.24247,                 0.9682,              0.0001295,              0.0001295,              0.0001295
                     86,                0.42679,                0.26536,                0.99816,                0.97983,                0.98042,                0.97921,                0.90069,                0.44341,                 0.2449,                0.97067,             0.00012189,             0.00012189,             0.00012189
                     87,                0.42991,                 0.2657,                0.99659,                0.98053,                0.98153,                0.97674,                0.89928,                0.43637,                0.23984,                0.96957,             0.00011427,             0.00011427,             0.00011427
                     88,                 0.4214,                0.26155,                0.98931,                0.98076,                0.98479,                0.97657,                0.89897,                0.43091,                 0.2373,                0.96455,             0.00010666,             0.00010666,             0.00010666
                     89,                0.42526,                0.26732,                 0.9957,                 0.9803,                0.98138,                 0.9754,                0.89656,                0.42916,                0.23765,                0.96276,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.41341,                0.25785,                0.98545,                0.97905,                 0.9814,                0.97478,                0.89451,                0.43643,                0.24282,                0.96938,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.39161,                0.20398,                0.99223,                0.97769,                0.98156,                0.97408,                0.88901,                0.44378,                0.24266,                0.96871,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.37809,                0.19441,                0.97358,                0.97798,                0.98447,                0.97427,                0.89476,                0.43615,                0.24007,                0.96794,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.37555,                0.19329,                0.96956,                 0.9792,                0.98429,                0.97378,                0.89159,                0.44233,                0.24341,                0.97214,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.37212,                0.19429,                0.97192,                0.97915,                0.98257,                0.97617,                0.88828,                0.44098,                0.24208,                0.96836,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.35987,                0.18834,                0.96373,                0.97894,                0.98276,                0.97685,                0.89162,                0.43618,                0.23701,                0.96958,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.35787,                0.18762,                0.95933,                 0.9799,                0.98355,                 0.9765,                0.89455,                0.44046,                0.23472,                0.97451,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.34979,                0.18423,                0.95594,                0.97921,                0.98541,                0.97583,                0.89507,                0.43857,                0.23529,                0.97319,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.34341,                0.17974,                0.94146,                0.97916,                0.98418,                0.97546,                 0.8961,                0.43815,                0.23707,                 0.9753,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                 0.3465,                0.18224,                0.95708,                0.97884,                 0.9832,                0.97553,                 0.8974,                0.43789,                0.23691,                0.97364,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.34525,                0.17892,                 0.9509,                0.97967,                0.97872,                0.97516,                0.89893,                0.43498,                0.23751,                0.97263,             1.5303e-05,             1.5303e-05,             1.5303e-05
