                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.46722,                 0.2846,                 1.0288,                 0.9755,                0.97843,                0.97489,                0.89233,                0.44157,                0.24016,                0.99804,             0.00022086,             0.00022086,             0.00022086
                     74,                0.46745,                0.28961,                 1.0323,                0.98106,                0.98182,                0.97671,                0.89702,                0.43648,                0.23237,                 0.9887,             0.00021324,             0.00021324,             0.00021324
                     75,                 0.4564,                0.28043,                 1.0265,                0.97747,                0.98201,                0.97337,                0.89422,                 0.4383,                0.24009,                0.98811,             0.00020563,             0.00020563,             0.00020563
                     76,                0.45772,                0.27907,                 1.0259,                0.97952,                0.98251,                0.97922,                0.89843,                0.43942,                0.22884,                0.98598,             0.00019802,             0.00019802,             0.00019802
                     77,                0.46005,                0.28625,                 1.0272,                0.97848,                0.98504,                0.97939,                0.89825,                0.43414,                0.22838,                 0.9847,              0.0001904,              0.0001904,              0.0001904
                     78,                0.45164,                0.28029,                 1.0236,                0.98381,                0.97958,                0.97975,                0.90066,                0.44017,                0.23294,                0.99301,             0.00018279,             0.00018279,             0.00018279
                     79,                0.44263,                 0.2753,                 1.0205,                0.98064,                0.98459,                0.97992,                0.89751,                0.43966,                0.23366,                0.99402,             0.00017518,             0.00017518,             0.00017518
                     80,                0.43854,                 0.2702,                 1.0137,                 0.9823,                0.98343,                0.97784,                0.89817,                 0.4411,                0.23132,                0.99169,             0.00016757,             0.00016757,             0.00016757
                     81,                0.44094,                  0.267,                 1.0191,                0.97689,                0.98251,                0.97788,                0.90095,                0.43723,                0.23027,                0.99264,             0.00015995,             0.00015995,             0.00015995
                     82,                0.43392,                 0.2695,                 1.0169,                 0.9769,                0.98447,                0.97621,                0.89502,                 0.4369,                0.22365,                 0.9959,             0.00015234,             0.00015234,             0.00015234
                     83,                0.42503,                0.25687,                 1.0084,                0.97616,                0.98224,                 0.9775,                 0.8996,                 0.4345,                0.22436,                 0.9968,             0.00014473,             0.00014473,             0.00014473
                     84,                0.42919,                0.26683,                 1.0113,                0.97383,                0.98525,                0.97554,                0.89402,                0.43295,                0.23048,                0.98869,             0.00013711,             0.00013711,             0.00013711
                     85,                 0.4154,                0.25867,                 1.0023,                0.98046,                0.98254,                0.98005,                0.90318,                0.43333,                0.23484,                0.99035,              0.0001295,              0.0001295,              0.0001295
                     86,                0.41107,                0.25312,                 1.0037,                0.97826,                0.98386,                0.97944,                0.90483,                0.43811,                0.22522,                 1.0004,             0.00012189,             0.00012189,             0.00012189
