                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.49096,                 0.3111,                 1.0265,                0.98148,                0.97566,                0.97948,                0.88976,                0.45676,                0.25888,                0.98421,             0.00016757,             0.00016757,             0.00016757
                     81,                0.49082,                  0.309,                 1.0353,                0.97974,                0.97801,                0.97781,                0.88592,                0.45817,                0.25746,                0.98774,             0.00015995,             0.00015995,             0.00015995
                     82,                0.49034,                0.31521,                 1.0353,                0.97846,                0.98102,                0.97514,                0.88529,                  0.458,                0.25655,                0.99662,             0.00015234,             0.00015234,             0.00015234
                     83,                0.47971,                0.30238,                 1.0246,                0.97824,                0.98316,                0.97665,                0.88804,                0.45851,                0.25714,                0.98595,             0.00014473,             0.00014473,             0.00014473
                     84,                0.47735,                0.30965,                 1.0246,                0.97829,                0.98269,                0.97713,                0.89247,                0.45179,                0.25362,                0.98456,             0.00013711,             0.00013711,             0.00013711
                     85,                0.47045,                0.30312,                 1.0196,                0.97768,                0.98185,                0.97563,                0.89237,                0.45285,                 0.2596,                0.98671,              0.0001295,              0.0001295,              0.0001295
                     86,                0.46493,                0.29789,                 1.0209,                0.97865,                0.98287,                0.97975,                0.89713,                0.45727,                0.25979,                0.99142,             0.00012189,             0.00012189,             0.00012189
                     87,                0.46738,                0.29479,                 1.0208,                0.97808,                0.98164,                0.97601,                0.88716,                0.45351,                0.26106,                0.98956,             0.00011427,             0.00011427,             0.00011427
                     88,                0.46107,                0.29102,                 1.0121,                0.97777,                0.98329,                0.97801,                0.88735,                0.45899,                0.25522,                0.99394,             0.00010666,             0.00010666,             0.00010666
                     89,                0.46939,                0.30165,                 1.0219,                0.97824,                0.98032,                0.97278,                 0.8869,                0.45148,                0.26037,                0.98835,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.46059,                0.29216,                 1.0116,                0.97867,                0.97884,                0.97274,                 0.8867,                0.45526,                0.25616,                0.99335,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.43156,                0.22796,                 1.0268,                0.97823,                0.98064,                0.97362,                0.88792,                0.45959,                0.26335,                0.99057,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.41478,                0.21882,                 1.0092,                 0.9786,                 0.9809,                0.97446,                0.88851,                0.45858,                0.25903,                0.99155,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.40923,                0.21555,                  1.001,                 0.9778,                0.98083,                0.97372,                0.89371,                0.45501,                0.25477,                 0.9885,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.40437,                0.21575,                 1.0029,                0.97913,                0.98086,                 0.9722,                0.88503,                0.45186,                0.25233,                 0.9866,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.40378,                0.21302,                 1.0007,                0.97827,                0.97631,                0.97318,                0.88464,                0.45195,                0.25278,                0.99008,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.40004,                0.21076,                 1.0003,                0.97788,                0.97642,                 0.9729,                0.89176,                0.45218,                0.25551,                0.98785,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                 0.3881,                 0.2064,                 0.9933,                0.97888,                0.98019,                0.97304,                0.88946,                0.45646,                0.25479,                0.99309,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.37987,                 0.2019,                0.97899,                 0.9785,                0.98014,                0.97277,                0.89134,                0.45551,                0.25581,                0.99424,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.38585,                0.20426,                 0.9956,                0.97906,                0.98006,                0.97315,                0.89118,                0.45241,                0.25639,                0.98797,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.38337,                0.20265,                0.98438,                0.97931,                0.97982,                0.97326,                0.89073,                0.44974,                0.25406,                0.98659,             1.5303e-05,             1.5303e-05,             1.5303e-05
